,Title,Price,Rating,Store,Reviews,shipping,Positive Feedback %,Image,Link,Location,Returns
47,"1 NYX Shine Loud High Shine Lip Color Gloss ""Pick Your 1 Color""*Joy's cosmetics*",,,joy017,128900,+$6.40 delivery in 2-4 days,100.0,https://i.ebayimg.com/images/g/TbwAAOSwhaNjeCek/s-l140.webp,https://www.ebay.com/itm/334349931224?_skw=lip_gloss&itmmeta=01KQEGMHT2W6HMKHD76BTJV5GV&hash=item4dd8cf12d8:g:TbwAAOSwhaNjeCek&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xCF4djJv2t5Nwml7pqE7yLvju7tTHucoqQCv3dMaHwawY4i76NckmqbQ5nFrCVfR9mzqmjHKggM3aCRHHm7a0wWpV%2B8xVWOha6kEBidSxIEnAKg9YG0J21A6Gs%2Bsvgt1mn3lJVfP3LjwUS7IB2x1kUVttg%2BsvDr0RxrUeWrSS3hkR893h%2BVwzTtaG74t4TtVflOXbcXnnbvfr%2FemD9ODqB%2Fdgo5c80Ug2dilfl42l7ccYlkszVFRDJkBH8FNVS84SPhunBEwzxdhgB%2B3SNNFiiM%7Ctkp%3ABk9SR6Sd0tC7Zw,Located in United States,Free returns
48,Hard Candy GLOSSAHOLIC Lip Gloss - U Choose Shade! Sealed!,,5.0,beautymark-belle,28500,Free delivery,100.0,https://i.ebayimg.com/images/g/uEwAAOSwafhbYdS-/s-l140.webp,https://www.ebay.com/itm/113179279498?_skw=lip_gloss&epid=1000124559&itmmeta=01KQEGMHT2KQ4775CVVQ7SB10N&hash=item1a5a02c08a:g:uEwAAOSwafhbYdS-&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xCChy%2F8itO%2B9WQUtph90a5twc2scRBn99EBEA0MoJf9TeelT2fyGFQ66uxwmKBPK2L7yy7a9D1XqAiCQLFig6QF5Qr4cT3flNsYGOic0Kz03OSeTHaiDcy1IGlQJu8XdUSfXRmSXVEgD%2FTsRv9bK%2BbB3%2FzkQZ8T4QC9F%2FFbrIjn%2Bt3ArDjy9DxFhEOWGxG%2BxIycwnS9FXBrtmoC8eVrKlCKn9V9fXe6kjxe2X%2FQY8FqKA%3D%3D%7Ctkp%3ABk9SR6Sd0tC7Zw,Located in United States,Free returns
49,NYX Shine Loud pigmented Lip Color (0.11oz / 3.4mL) NEW YOU PICK,,,solo-bev,30100,Free delivery,99.3,https://i.ebayimg.com/images/g/eEAAAOSwhUZkwWv2/s-l140.webp,https://www.ebay.com/itm/255794904377?_skw=lip_gloss&itmmeta=01KQEGMHT295G2ZE0F16KJR17Q&hash=item3b8e907d39:g:eEAAAOSwhUZkwWv2&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xC%2FQKyWefJY0OI%2BZ40zz0pW42SV3nwYgepe%2FJsRKJ%2F7fshyWSM4PpUA6keGavoQ84d%2FHcT6Tw%2Bop3TfNwhCStCLLApR4g43Gh44GkOhqFGVJnLCS32xHzgj4eJe8F82kk5jEIYUUhsNYNwuo1TtrFSzdSv5Ke2i9WqdCcn295Gg%2Fs3YFUc9exOt%2FTB8N%2FQLx6WjwG4QmdhTuClWdv7Hudz8WnzwqQY23c%2FkjYUL70KowfxnDp%2BW9DiLPloYH1KqEpJkPmzLWufHTNHFaHitWmM6%7Ctkp%3ABk9SR6Sd0tC7Zw,Located in United States,Free returns
50,"L'Oreal Paris Infallible Pro Gloss Plump Lip Gloss, 603 Blush Gleam, 3 PACK",$15.99,,steals_deals_us,43500,Free delivery,99.6,https://i.ebayimg.com/images/g/QPgAAeSwcU5oyXuF/s-l140.webp,https://www.ebay.com/itm/376554468859?_skw=lip_gloss&itmmeta=01KQEGMHT2VDJJ9682RCR4HAC7&hash=item57ac6535fb:g:QPgAAeSwcU5oyXuF&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xA2MwkcymhZbX4BQdUyUJDLHVY8%2Bp7RBoBy5ekoRRCnP03vHcfVXWDYyDyeyISIf3y190Pg175TCOxhscnwiUh5zOrV%2BoFmYjWLiKlih23%2BAp9TgYI%2B5aSkS%2BdB71T175wF0VEjLTUIxXOtsDFvRqb0ss2PU4rTByl18GzUcwZrKkR4xSWnh0l21x7ilgVreoN%2FxG%2BJI1gw5hWw%2FJj9ofZHFd0bHgF792qvc7j%2BLkTtLQJ1EZxmuk0w49XLEJk0nH8%3D%7Ctkp%3ABk9SR6Sd0tC7Zw,Located in United States,
51,Dior Addict Lip Essentials + Gift Box Lip Glow & Maximizer ~3 pce Set 001 Pink💕,$44.88,,lulubeauty,7400,Free delivery in 2-4 days,99.8,https://i.ebayimg.com/images/g/2NcAAeSwknRpbtKj/s-l140.webp,https://www.ebay.com/itm/157355383041?_skw=lip_gloss&itmmeta=01KQEGMHT2Z5D8RAKJR1NFDF5M&hash=item24a31c9901:g:2NcAAeSwknRpbtKj&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDTQUoWeJUU1qIgRtISrlxKA4140SfM3dAApWjHcx8Otr4T2D5UYGMCtj7M7QWnTLhP7dk%2FpeyPzdFaq0QEIzgXoCIcnB2dZh84b4ZVsxO4g6aDlIJbNgRX6ttEewB79WBw3uyAL19SqlT384op1vZz6WldsBZjdUeyGsMK%2F9ARz7d8jAAkNk0tX38C0XGAldjmFed8rpNOD6K0cDmPVtMpx9QhS6Y6xAQ27LRyC6KDRRo5B2CwIdqlsCpDSXKZag7kXSe3v89FebWcSqExAkCdClAW7LwD0bexTqBnBP6vNA%3D%3D%7Ctkp%3ABk9SR6Sd0tC7Zw,Located in United States,Free returns
52,Lancome Juicy Tubes Original Ultra Shiny Lip Gloss 15ml ~ 06 Simmer,$19.99,,blueberry713,81900,Free delivery,99.8,https://i.ebayimg.com/images/g/-fMAAeSwEllpyZ3A/s-l140.webp,https://www.ebay.com/itm/147230230045?_skw=lip_gloss&itmmeta=01KQEGMHT286GZCVGCTW286R0W&hash=item22479b061d:g:-fMAAeSwEllpyZ3A&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCdpSvyR56Zc5nrfvySDuJgUUHzQig99QGR0MTgKwntdYnpB1v5OtK1MbuWFxYKKGnxaO32%2FvoGWPKgRf2FbCXxkYSi3DLPaIAtpp%2BJ4ZFxEUlqRCmqqxFOLpEfKOQsDLGH%2FISodylNw1k9aqGXivJY%2BAWAzAw8FwNAY0mqDHl62fOt1qAkLZyUb0VsQCybnULFr9HAMoPNNi9VKoMWTyyuFtR%2FP611EkhWpUmlHFuvfMiXDGI1ynjC4HUId6WZ7q4%3D%7Ctkp%3ABk9SR6Sd0tC7Zw,Located in United States,
53,Revlon Super Lustrous The Gloss (0.13 Oz/3.8mL) NEW YOU PICK!,,,solo-bev,30100,Free delivery,99.3,https://i.ebayimg.com/images/g/TZMAAOSwRNdgdxwQ/s-l140.webp,https://www.ebay.com/itm/254941987521?_skw=lip_gloss&itmmeta=01KQEGMHT3T473HJRM79S3M459&hash=item3b5bba02c1:g:TZMAAOSwRNdgdxwQ&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xBreJPK3ospI8YnMgEdtoWDZWc2c0nKl7UoKNwgCan1%2FB9qO1S2hp%2BvDv3HI40b7FQHP93UClCKs%2BZYXvU%2BR%2FpFSlIihilDDENXuk%2Fdv4YTE03vAN96c7wt%2BZ099xkm6xia0eaQ%2B%2B8A5shRHoJ%2BRjQUGEDUCyBP%2BBW8fTnwVSa4K8GM0gvwbhaC5stA30%2BBF3vN8ffAP9M7SLr49ZYRjOneDIYbqEbbtjdUP%2FizkHn4vY37QU0O49g81Ns5zdMOTub4W0o3sSYTx%2Bx3GrHylRKX%7Ctkp%3ABk9SR6Sd0tC7Zw,Located in United States,Free returns
54,Revlon Super Lustrous Lip Gloss,,,oasis_220,48900,Free delivery,99.8,https://i.ebayimg.com/images/g/5NkAAeSw1PVouc64/s-l140.webp,https://www.ebay.com/itm/127356427276?_skw=lip_gloss&itmmeta=01KQEGMHT3X96RWH4V4H0JZ1QG&hash=item1da708dc0c:g:5NkAAeSw1PVouc64&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDXrZAUjnDfkNTVJKIdEfpLLQm4AL1Lnoc63qnwbf%2BWMZqg%2FW1pM8733EHW6yayZqLtbIdQa9XkCjH5QijIWkgLK8Q10MwvX8gFvqPQ8uNii3Xtk0g2l9JB%2FrD19qAxveb69QrHAslwPIKUMk0aLmiTFzGfQs63uH%2FiNG%2BsU6bLI7bxdA3Pa4gmBRo8UuP6%2FHShnQciAt4poLi7%2BvKKnjB%2Bex3bjUTwyJ3zUAQ%2F4sd%2B2DtFRLvSlIPcuVrmicHisXGt2M%2B0kJaImMCjuViMQAb7%7Ctkp%3ABk9SR6Sd0tC7Zw,Located in United States,Free returns
55,doTERRA Tinted Lip Gloss Peppermint Essential Oils 3.5 mL New in Box Sealed,$29.99,,revolutionnutrition,21400,Free delivery,100.0,https://i.ebayimg.com/images/g/FXwAAOSwuZVnesd6/s-l140.webp,https://www.ebay.com/itm/167233931797?_skw=lip_gloss&itmmeta=01KQEGMHT32DQWAZ4A8BMFW5XW&hash=item26efeb4a15:g:FXwAAOSwuZVnesd6&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCmfNJQ1JP6pQzuCGXiszUOuCeLPPCQWw0A8LdrhHsf5TmTwejq2hXKdFl3bBhoA8TXYS%2BVGmDNNWtofOJ1vVDWw%2FwiomAaP2GbW6p3JS1V2WfcSKj0DGbAHJ4dk3V0uMZqGO89N41A%2Fuv%2FUOo5THhm0mB66caezzIz56hJRpQbKNwCMzReFDzYOfdQk%2BS%2BeZCh8TEEI2jnRj2VtQ4sAh9y8QpPdScqi4yZDtxIrkA85rIWQRZ9D4MkelV6IQdkX%2FA%3D%7Ctkp%3ABk9SR6Sd0tC7Zw,Located in United States,Free returns
56,Lancome Juicy Tubes Original Ultra Shiny Hydrating Lip Gloss ~ 02 Spring Fling,$12.95,,blueberry713,81900,Free delivery,99.8,https://i.ebayimg.com/images/g/QK8AAeSwH35pigyu/s-l140.webp,https://www.ebay.com/itm/157671047985?_skw=lip_gloss&itmmeta=01KQEGMHT3BR8C9APRSCNQKRJH&hash=item24b5ed4331:g:QK8AAeSwH35pigyu&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCLDL87f2CeAYCvHSh5jrVF3QRpEB3KuEuLDjxq46vmQ5RGFflxMLBMHuUIF%2BMdXb5fs3atGFC46aksYITJgtmWRDFrTlyzvblObqVUYcI92fcDgZnOvEM8ssqd1skeCGFu0wALv6kGp1uQ9MnbViGmqae1lQCZVj8lNYi6R%2BDstoZhfUmRSAvb0mQ8kC0Rv8tD%2FYrsaYXxXw2tX4vrDXGahnU2UHzUFCE96qBcrwROk8uoC4D9TEvF2X3uvfG4pSI%3D%7Ctkp%3ABk9SR6Sd0tC7Zw,Located in United States,
57,VeniCare lip stain Lip Gloss 6 Colors Peel Off Tint Waterproof Long Lasting,$9.99,,the_perfect_buy,32299,Free delivery,99.6,https://i.ebayimg.com/images/g/CQAAAOSwePplqa6z/s-l140.webp,https://www.ebay.com/itm/176069059950?_skw=lip_gloss&itmmeta=01KQEGMHT3B2JYHNAYCT3CJCQP&hash=item28fe88a56e:g:CQAAAOSwePplqa6z&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xA1Bty81Cvzy9k5L21%2Fojhmf9BieEBGFaK2ZlkAqQZ0DKmB7cVwADCgRCib9woCrJIZGSzOEEICdP%2BcgOkGs5I8h4OCX1%2BjIbKCAeW%2B8b4CI5MoipxSwFNPpCrvd3OuD9hzNXe5ZZxXsZdMi20u%2FnuZy37pQUT0UWzXX56XKZWf%2Fr0ffnqSCO8%2BEhvxLxJYtRfhh22pqXppkIKkHhAItf8cySsNgCZKOFLPSXTSSZd2yg%3D%3D%7Ctkp%3ABk9SR6Sd0tC7Zw,Located in United States,
58,Tarte Maracuja Juicy Lip Plumping Oil Petal Lip Makeup,$12.99,,budgetcomputer2012,3100,Free delivery,100.0,https://i.ebayimg.com/images/g/68QAAeSwDu9pRylw/s-l140.webp,https://www.ebay.com/itm/198015547137?_skw=lip_gloss&itmmeta=01KQEGMHT3KRCXZH1XVD5NXGTS&hash=item2e1aa57701:g:68QAAeSwDu9pRylw&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xD45KeA2sT6mq0Ry0ys6WUOFXRBXpIPlNTdqfTYzHZZVvtEVDIlDkPefsm4TrQdfK481FAbcQN9N6azxQEwXC%2FH%2BnIUD3MdBKvZgjwyDLIi5YYsbUgWRa%2FuNNGcoYrFjbJmBQv7pTgi2pmXB0E33qq7%2BToyuOyoWuQbMNqguy1YofDrthQKiWZqeD6O3vidZEAnNV%2BHasEFT7BhlHJpJsD1CmsIplrb6QREmCLeImDVoDTMglz%2BJ41FTtgAL9vjGhXg5cufb135NJwAQfNzVvdwj8BSzvn9xWtDgbVDuEjysg%3D%3D%7Ctkp%3ABFBMpJ3S0Ltn,Located in United States,
59,Dior Addict Lip Glow Reviving Balm - 001 PINK NIB New,$22.88,,nationwide_distributors,6800,Free delivery,100.0,https://i.ebayimg.com/images/g/2mMAAeSwwRlpsXGj/s-l140.webp,https://www.ebay.com/itm/358313798817?_skw=lip_gloss&itmmeta=01KQEGMHT3DA5STBDPHPJ0NYA4&hash=item536d2aaca1:g:2mMAAeSwwRlpsXGj&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xAsaowig7HKNK6uLoJRwJBKBMm%2Fsla1SIWPtFZR5gCHFKagAS7KZ9%2FteV%2BDN08oLt%2Fa%2B0V2qwosF0mc5w8mZsGYttc3VhqMQEEyFM6M0E7YXgpM%2BYoK62o6G2h5PvG0CxJHnEip%2B72gW7EtqOCWAy%2BJBEYT58BOfjMOCj5uYf5zM5Wkqpw8V8qAexDeN0zcwiVFwoI86DPzzogrCO8%2BEdcoLZ77%2Fm8kr%2FRniyxW50SEiL3rl2kRuSEMq8AJ99000Czdi66Oxhgi%2FRlNwTsLrKLd%7Ctkp%3ABFBMpJ3S0Ltn,Located in United States,Free returns
